id,reduce-rows-baseline-5-argmin,reduce-rows-perdepth0-5-argmin,reduce-rows-perdepth1-5-argmin
0,0.513,0.524,0.557
1,1.652,1.653,1.857
2,2.681,3.58,3.234
3,12.074,18.252,11.67
4,101.051,130.45,90.962
5,1117.644,1338.881,1026.479
6,12258.99,13935.42,12519.53
