id,reduce-rows-baseline-2-min,reduce-rows-perdepth0-2-min,reduce-rows-perdepth1-2-min
0,0.518,0.477,0.556
1,1.14,1.166,1.137
2,1.464,1.649,1.536
3,6.346,8.326,5.078
4,46.044,55.731,43.611
5,445.267,538.869,418.153
6,4552.77,5311.93,4216.88
