id,reduce-rows-baseline-5-profile,reduce-rows-perdepth0-5-profile,reduce-rows-perdepth1-5-profile
0,0.627,0.541,0.545
1,1.031,1.301,0.976
2,0.805,2.337,1.739
3,1.051,12.323,12.49
4,1.094,108.014,66.243
5,2.413,1162.892,867.841
6,4.68,12492.11,11044.97
