id,reduce-rows-baseline-4-variance,reduce-rows-perdepth0-4-variance,reduce-rows-perdepth1-4-variance
0,0.684,0.485,0.569
1,1.916,1.672,1.398
2,4.559,4.259,3.299
3,30.81,27.205,22.477
4,294.75,219.304,221.415
5,2900.255,2147.782,2158.306
6,29206.19,21394.28,21523.21
