id,reduce-rows-baseline-1-max,reduce-rows-perdepth0-1-max,reduce-rows-perdepth1-1-max
0,0.537,0.515,0.955
1,1.089,1.185,1.195
2,1.374,1.882,1.442
3,4.018,6.946,3.454
4,26.775,53.905,22.285
5,234.767,530.88,209.646
6,2336.65,5276.54,2101.5
