id,reduce-rows-baseline-5-variance,reduce-rows-perdepth0-5-variance,reduce-rows-perdepth1-5-variance
0,0.694,0.575,0.524
1,1.942,1.921,3.09
2,6.587,5.348,6.968
3,41.817,39.176,40.475
4,365.867,354.962,341.75
5,3654.627,3527.688,3320.538
6,36787.86,35524.47,33610.19
