id,reduce-rows-baseline-7-profile,reduce-rows-perdepth0-7-profile,reduce-rows-perdepth1-7-profile
0,0.56,0.598,0.528
1,1.012,1.316,1.317
2,0.706,2.85,2.11
3,0.918,15.84,12.429
4,0.592,151.025,88.421
5,3.594,2311.276,2094.767
6,4.72,20955.97,18922.92
