id,reduce-rows-baseline-7-rprofile,reduce-rows-perdepth0-7-rprofile,reduce-rows-perdepth1-7-rprofile
0,1.044,0.689,0.614
1,1.227,1.347,1.361
2,0.77,2.758,2.591
3,0.717,16.312,13.38
4,0.913,156.498,92.008
5,4.049,2323.443,2176.593
6,5.03,20937.35,20209.02
