id,reduce-rows-baseline-8-mean,reduce-rows-perdepth0-8-mean,reduce-rows-perdepth1-8-mean
0,0.654,0.564,0.464
1,2.152,1.987,2.588
2,5.672,5.073,6.148
3,41.393,42.685,29.617
4,401.355,399.043,274.366
5,4313.756,4311.547,3484.647
6,41447.17,41460.08,31675.24
