id,reduce-rows-baseline-4-argmin,reduce-rows-perdepth0-4-argmin,reduce-rows-perdepth1-4-argmin
0,0.498,0.536,0.597
1,1.475,1.454,1.35
2,2.554,2.116,1.69
3,10.125,7.093,10.352
4,80.709,62.633,65.782
5,807.158,613.577,634.247
6,9162.94,6153.6,6300.8
