id,reduce-rows-baseline-6-variance,reduce-rows-perdepth0-6-variance,reduce-rows-perdepth1-6-variance
0,0.652,0.614,0.552
1,2.307,1.881,3.433
2,6.295,5.909,7.141
3,44.776,46.676,43.555
4,438.941,427.33,399.483
5,4447.348,4292.828,4056.223
6,44473.32,43064.77,40571.27
