id,reduce-rows-baseline-3-min,reduce-rows-perdepth0-3-min,reduce-rows-perdepth1-3-min
0,0.566,0.558,0.5
1,1.116,1.243,1.466
2,1.984,1.864,1.726
3,10.224,7.836,7.791
4,67.989,64.125,63.953
5,666.817,632.357,621.126
6,6969.94,6320.21,6198.97
