id,reduce-rows-baseline-7-argmax,reduce-rows-perdepth0-7-argmax,reduce-rows-perdepth1-7-argmax
0,0.619,0.557,0.531
1,1.812,1.751,2.507
2,2.549,3.382,4.548
3,16.225,18.974,18.249
4,141.886,176.116,127.057
5,2239.971,2516.522,2285.522
6,20319.14,23329.19,20902.92
