id,reduce-rows-baseline-5-stddev,reduce-rows-perdepth0-5-stddev,reduce-rows-perdepth1-5-stddev
0,0.679,0.529,0.545
1,2.005,1.544,3.226
2,4.689,6.566,5.876
3,40.742,39.584,40.525
4,364.944,354.723,334.087
5,3654.318,3523.047,3325.647
6,36735.58,35507.85,33600.36
