id,reduce-rows-baseline-5-min,reduce-rows-perdepth0-5-min,reduce-rows-perdepth1-5-min
0,0.539,0.472,0.487
1,1.544,1.444,1.338
2,2.365,4.227,2.468
3,12.56,27.331,11.424
4,113.214,266.46,108.953
5,1192.33,2677.645,1158.794
6,12602.63,26943.3,12170.32
