id,reduce-rows-baseline-7-stddev,reduce-rows-perdepth0-7-stddev,reduce-rows-perdepth1-7-stddev
0,0.747,0.961,0.493
1,2.638,2.14,3.405
2,7.096,5.968,6.892
3,59.358,51.613,50.11
4,520.298,493.946,469.084
5,5260.985,5080.148,4837.302
6,51897.21,50542.06,47806.03
