id,reduce-rows-baseline-7-min,reduce-rows-perdepth0-7-min,reduce-rows-perdepth1-7-min
0,0.582,0.526,0.802
1,1.387,1.585,1.341
2,2.993,5.116,2.544
3,17.893,39.781,17.263
4,156.798,372.276,156.228
5,2318.513,3931.157,2330.052
6,20866.35,37906.6,21056.47
