id,reduce-rows-baseline-2-max,reduce-rows-perdepth0-2-max,reduce-rows-perdepth1-2-max
0,0.619,0.519,0.537
1,0.933,1.139,1.177
2,1.339,1.707,1.625
3,5.749,5.876,4.659
4,49.27,53.886,41.299
5,467.881,539.705,393.114
6,4757.56,5343.94,3920.48
