id,reduce-base-5-min,reduce-special-5-min,reduce-unroll4-5-min
0,0.536,0.524,0.692
1,1.752,0.985,1.289
2,6.607,3.759,3.601
3,34.572,18.089,16.089
4,325.929,152.492,161.023
5,3289.64,1343.237,1363.386
6,32883.93,13342.36,14264.35
