id,reduce-base-2-mean,reduce-special-2-mean,reduce-unroll4-2-mean
0,0.614,0.525,0.608
1,2.071,1.511,1.245
2,6.392,4.395,4.095
3,41.588,20.52,17.94
4,389.437,176.554,155.467
5,3418.805,1693.45,1482.703
6,30815.54,16866.52,14710.75
