id,reduce-base-3-mean,reduce-special-3-mean,reduce-unroll4-3-mean
0,0.638,0.514,0.557
1,1.993,1.581,1.71
2,7.563,5.312,4.7
3,52.096,26.646,24.841
4,432.203,232.863,219.007
5,3704.763,2230.055,2035.442
6,37683.35,22239.36,20240.92
