id,reduce-base-3-min,reduce-special-3-min,reduce-unroll4-3-min
0,0.8,0.56,0.546
1,1.076,1.258,1.36
2,3.27,2.549,2.477
3,26.276,9.383,7.874
4,215.265,83.82,73.501
5,2168.821,644.426,765.761
6,21990.4,6392.82,7990.47
