id,reduce-base-3-argmax,reduce-special-3-argmax,reduce-unroll4-3-argmax
0,0.505,0.528,0.617
1,1.471,1.462,1.525
2,5.099,3.778,4.508
3,23.069,23.78,22.07
4,218.912,187.673,190.355
5,2199.362,1938.215,1879.02
6,22195.74,20044.7,18559.55
