id,reduce-base-7-variance,reduce-special-7-variance,reduce-unroll4-7-variance
0,0.566,0.605,0.796
1,2.743,2.333,2.733
2,13.924,11.504,13.334
3,79.267,70.825,74.841
4,766.714,637.358,644.959
5,7468.445,6275.572,6319.494
6,74192.76,61841.31,63060.84
