id,reduce-base-6-sumsquared,reduce-special-6-sumsquared
0,0.429,0.421
1,0.808,0.777
2,5.637,4.301
3,54.434,40.694
4,551.103,405.803
5,5501.583,4047.415
6,55231.45,40375.74
