id,reduce-base-4-argmax,reduce-special-4-argmax
0,0.404,0.411
1,0.484,0.472
2,1.908,2.196
3,23.974,21.837
4,264.596,215.447
5,2724.641,2352.81
6,27351.48,23125.72
