id,reduce-base-3-max,reduce-special-3-max,reduce-unroll4-3-max
0,0.53,0.526,0.624
1,1.667,1.263,1.399
2,5.135,2.52,2.394
3,23.242,9.877,7.68
4,216.406,72.614,67.478
5,2177.838,647.075,648.66
6,22093.2,6381.28,6437.35
