id,reduce-base-3-argmax,reduce-special-3-argmax
0,0.397,0.425
1,0.466,0.485
2,2.148,1.451
3,22.159,16.29
4,217.352,180.313
5,2176.77,1806.282
6,21599.44,18107.56
