id,reduce-base-5-sumsquared,reduce-special-5-sumsquared
0,0.455,0.446
1,0.942,0.823
2,5.934,5.173
3,55.083,48.132
4,543.884,482.707
5,5432.94,4806.596
6,54390.24,48036.44
