id,reduce-base-5-argmax,reduce-special-5-argmax
0,0.412,0.416
1,0.506,0.576
2,2.362,2.385
3,29.142,20.848
4,307.457,204.758
5,3207.016,2047.048
6,32468.76,20488.64
