id,reduce-base-4-argmax,reduce-special-4-argmax,reduce-unroll4-4-argmax
0,0.618,0.528,0.632
1,1.595,1.579,1.568
2,5.507,5.472,5.054
3,28.777,26.997,27.13
4,292.212,244.499,245.854
5,2860.555,2485.247,2465.952
6,28405.66,24895.28,24433.21
