id,reduce-base-2-sumsquared,reduce-special-2-sumsquared
0,0.442,0.435
1,0.678,0.571
2,3.2,2.382
3,28.327,20.014
4,283.045,198.237
5,2832.318,1984.351
6,28409.64,19865.08
