id,reduce-base-8-sumsquared,reduce-special-8-sumsquared,reduce-unroll4-8-sumsquared
0,0.646,0.678,0.693
1,2.471,1.916,2.026
2,11.998,8.11,8.102
3,81.833,57.276,51.751
4,669.493,504.554,434.506
5,6621.81,4943.876,4250.946
6,65365.32,47022.19,42230.37
