id,reduce-base-4-stddev,reduce-special-4-stddev
0,0.466,0.442
1,1.167,0.902
2,8.092,5.677
3,77.704,53.73
4,775.304,525.43
5,7866.618,5279.623
6,77555.97,52704.03
