id,reduce-base-8-argmax,reduce-special-8-argmax
0,0.41,0.445
1,0.635,0.652
2,4.339,4.085
3,43.159,42.147
4,430.104,420.155
5,4338.232,4203.883
6,43267.22,41918.26
