id,reduce-base-5-max,reduce-special-5-max,reduce-unroll4-5-max
0,0.611,0.599,0.53
1,1.778,1.338,1.375
2,7.383,3.779,3.324
3,34.134,20.228,15.102
4,331.906,161.029,140.989
5,3327.638,1371.124,1384.922
6,32907.78,13448.24,13432.84
