id,reduce-base-7-sumsquared,reduce-special-7-sumsquared
0,0.455,0.449
1,1.041,0.977
2,8.389,6.942
3,67.09,61.735
4,662.74,603.756
5,6636.592,6020.266
6,66278.05,60219.28
