id,reduce-base-1-min,reduce-base-2-min,reduce-base-3-min,reduce-base-4-min,reduce-base-5-min,reduce-base-6-min,reduce-base-7-min,reduce-base-8-min
0,0.401,0.395,0.396,0.409,0.404,0.406,0.401,0.42
1,0.452,0.446,0.46,0.534,0.554,0.594,0.561,0.584
2,0.846,1.7,1.963,2.589,3.04,3.543,3.563,3.918
3,4.906,19.732,20.368,28.365,32.506,37.382,40.573,45.511
4,45.434,144.005,215.694,276.235,328.479,385.177,412.142,460.706
5,472.822,1539.627,2238.135,2810.95,3281.246,3829.354,4211.355,4767.3
6,4797.8,15095.42,22374.5,28327.57,33526.22,38505.03,42616.8,47678.04
