id,reduce-base-8-variance,reduce-special-8-variance,reduce-unroll4-8-variance
0,0.579,0.568,0.63
1,2.468,2.698,3.1
2,15.425,12.355,13.6
3,98.117,82.776,87.411
4,822.957,694.821,769.236
5,8129.382,6931.251,7085.26
6,81270.02,68580.97,70286.61
