id,reduce-base-3-variance,reduce-special-3-variance,reduce-unroll4-3-variance
0,0.548,0.815,0.585
1,1.941,1.791,1.865
2,10.07,8.086,7.442
3,48.749,43.254,38.511
4,457.743,353.786,369.115
5,4327.98,3341.472,3515.103
6,43071.36,32214.29,34885.48
