id,reduce-base-4-argmin,reduce-special-4-argmin
0,0.42,0.42
1,0.505,0.489
2,2.268,1.815
3,26.748,20.459
4,276.12,218.665
5,2725.717,2351.658
6,27640.96,23040.92
