id,reduce-base-4-mean,reduce-special-4-mean,reduce-unroll4-4-mean
0,0.58,0.487,0.581
1,2.119,1.578,1.666
2,9.838,4.773,5.682
3,57.976,30.773,29.858
4,593.646,261.518,252.721
5,4864.995,2554.583,2426.703
6,43614.47,25444.79,24072.38
