id,reduce-base-8-stddev,reduce-special-8-stddev,reduce-unroll4-8-stddev
0,0.579,0.654,0.736
1,2.859,2.779,2.652
2,15.184,13.54,12.626
3,102.7,80.047,87.876
4,929.649,734.177,863.374
5,9161.175,7214.242,7525.932
6,91301.82,73566.61,74044.49
