id,reduce-base-8-stddev,reduce-special-8-stddev
0,0.481,0.472
1,1.248,1.198
2,9.326,8.38
3,91.443,81.341
4,908.171,814.289
5,9090.496,8141.824
6,90872.3,81354.25
