id,reduce-base-8-sumsquared,reduce-special-8-sumsquared
0,0.457,0.445
1,0.921,0.892
2,6.665,5.369
3,65.38,51.21
4,652.696,510.131
5,6519.777,5086.269
6,64970.29,50875.49
