id,reduce-base-3-argmin,reduce-special-3-argmin
0,0.413,0.412
1,0.483,0.462
2,1.993,1.449
3,21.135,15.023
4,212.717,158.218
5,2206.297,1751.409
6,22310.06,17635.03
