id,reduce-base-1-sumsquared,reduce-base-2-sumsquared,reduce-base-3-sumsquared,reduce-base-4-sumsquared,reduce-base-5-sumsquared,reduce-base-6-sumsquared,reduce-base-7-sumsquared,reduce-base-8-sumsquared
0,0.424,0.456,1.032,0.644,0.543,0.655,0.449,0.554
1,0.57,0.663,1.368,1.273,1.109,1.381,1.006,1.398
2,2.041,3.268,6.464,7.381,7.49,9.581,6.871,8.488
3,19.238,32.991,61.861,71.563,71.093,84.128,76.143,81.827
4,180.66,298.66,642.359,606.011,689.639,841.701,719.84,899.537
5,1662.427,3075.749,5377.25,5576.984,6943.798,8185.382,7425.082,8324.735
6,17027.33,35811.43,52677.07,59774.47,74238.09,73494.43,85606.46,88389.99
