id,reduce-base-6-variance,reduce-special-6-variance,reduce-unroll4-6-variance
0,0.627,0.754,0.629
1,2.431,2.281,2.6
2,13.887,10.985,10.997
3,90.11,70.472,69.111
4,679.208,563.622,562.413
5,6745.716,5512.013,5527.398
6,67172.35,54631.68,55009.66
