id,reduce-base-3-sumsquared,reduce-special-3-sumsquared
0,0.444,0.439
1,0.786,0.585
2,4.003,2.943
3,39.979,29.723
4,389.365,285.733
5,3895.403,2846.263
6,39030.58,28490.41
