id,reduce-base-5-stddev,reduce-special-5-stddev
0,0.472,0.468
1,1.252,1.095
2,9.386,7.548
3,89.8,70.222
4,894.416,697.866
5,8952.174,6982.147
6,89546.99,69910.83
