id,reduce-base-1-sumsquared,reduce-special-1-sumsquared
0,0.419,0.392
1,0.575,0.423
2,1.84,0.613
3,14.748,2.554
4,143.13,22.158
5,1429.796,362.219
6,14320.42,3644.51
