id,reduce-base-5-stddev,reduce-special-5-stddev,reduce-unroll4-5-stddev
0,0.662,0.62,0.74
1,2.871,2.237,2.619
2,13.327,10.966,11.725
3,79.327,67.527,78.166
4,720.68,550.189,586.91
5,7132.739,5181.99,5547.22
6,70753.22,51439.9,51056.52
