id,reduce-base-2-argmax,reduce-special-2-argmax
0,0.4,0.425
1,0.477,0.46
2,1.634,1.347
3,14.226,10.603
4,144.831,120.351
5,1463.708,1197.193
6,14657.82,12041.61
