id,reduce-base-6-stddev,reduce-special-6-stddev
0,0.489,0.49
1,1.327,1.204
2,10.419,8.709
3,100.983,82.902
4,1016.101,829.615
5,10162.835,8301.522
6,101915.89,83062.13
