id,reduce-base-3-argmin,reduce-special-3-argmin,reduce-unroll4-3-argmin
0,0.546,0.593,0.543
1,1.672,1.483,1.749
2,4.976,4.133,4.313
3,25.342,20.62,19.456
4,215.706,186.412,185.236
5,2190.483,1941.427,1820.673
6,21993.35,20153.02,18206.79
