id,reduce-base-5-sumsquared,reduce-special-5-sumsquared,reduce-unroll4-5-sumsquared
0,0.652,0.698,0.628
1,2.068,1.844,1.584
2,11.252,7.444,7.169
3,56.053,40.976,38.369
4,510.836,346.138,323.246
5,5039.172,3376.799,3108.123
6,50182.53,32762.38,30902.12
