id,reduce-base-2-sum,reduce-special-2-sum,reduce-unroll4-2-sum
0,0.517,0.503,0.512
1,1.504,1.538,1.212
2,5.341,4.139,3.607
3,31.458,19.787,16.911
4,285.897,169.843,151.943
5,2340.958,1680.085,1461.462
6,23328.07,16779.24,14443.84
