id,reduce-base-5-argmin,reduce-special-5-argmin,reduce-unroll4-5-argmin
0,0.52,0.559,0.552
1,1.864,1.666,1.684
2,6.228,5.073,5.196
3,33.878,25.09,22.913
4,324.577,229.013,212.475
5,3223.627,2224.761,1961.859
6,32555.9,22040.8,19472.82
