id,reduce-base-2-stddev,reduce-special-2-stddev
0,0.424,0.424
1,0.782,0.633
2,5.131,2.855
3,38.536,24.964
4,386.307,245.42
5,4002.087,2467.611
6,38540.59,25130.78
