id,reduce-base-1-argmax,reduce-base-2-argmax,reduce-base-3-argmax,reduce-base-4-argmax,reduce-base-5-argmax,reduce-base-6-argmax,reduce-base-7-argmax,reduce-base-8-argmax
0,0.391,0.41,0.391,0.386,0.384,0.392,0.397,0.4
1,0.445,0.514,0.478,0.5,0.529,0.582,0.597,0.609
2,0.799,1.753,2.216,2.663,3.205,3.299,3.942,4.373
3,4.395,14.484,22.13,26.929,32.351,35.97,40.965,43.522
4,40.412,139.683,211.093,269.124,316.048,359.396,390.435,423.474
5,650.6,1469.362,2182.959,2702.823,3251.962,3665.79,4029.313,4345.669
6,4348.46,14833.69,21901.94,27199.52,32520.0,36706.8,40360.15,43785.06
