id,reduce-base-8-mean,reduce-special-8-mean,reduce-unroll4-8-mean
0,0.666,0.523,0.591
1,2.184,1.789,1.894
2,10.423,7.269,7.218
3,60.681,50.303,42.02
4,555.222,422.334,370.69
5,5531.948,4157.495,3683.39
6,55019.67,41352.31,36739.0
