id,reduce-base-7-stddev,reduce-special-7-stddev
0,0.526,0.504
1,1.506,1.352
2,11.554,9.883
3,113.829,95.14
4,1127.771,941.468
5,11280.946,9396.934
6,112898.78,94057.03
