id,reduce-base-1-argmin,reduce-special-1-argmin,reduce-unroll4-1-argmin
0,0.497,0.543,0.603
1,1.176,1.227,1.213
2,2.05,1.51,1.259
3,8.667,3.171,1.876
4,71.496,19.815,8.082
5,504.502,193.381,63.488
6,4518.75,3001.63,979.05
