id,reduce-base-1-max,reduce-base-2-max,reduce-base-3-max,reduce-base-4-max,reduce-base-5-max,reduce-base-6-max,reduce-base-7-max,reduce-base-8-max
0,0.386,0.379,0.399,0.388,0.39,0.396,0.39,0.396
1,0.46,0.428,0.457,0.476,0.502,0.555,0.555,0.587
2,1.022,1.726,1.969,2.48,3.152,3.3,3.403,3.972
3,7.077,14.734,21.949,27.548,31.986,37.351,41.09,44.645
4,46.962,140.157,216.928,269.308,316.022,364.11,403.127,443.584
5,475.045,1449.117,2214.518,2675.803,3296.787,3720.456,4067.0,4493.813
6,4632.45,14778.35,22126.84,27543.98,33163.65,37455.86,41199.65,45159.84
